date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:15	358772/358772	---MCZ	200	added ('OK')	text/html	etag:W/%2264ea416ac223d44851395e29defef24f%22	https://moglokossi01.wixsite.com/dowope	D:/Projet%20mignon/Dowope/moglokossi01.wixsite.com/dowope.html	(from )
23:37:15	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://moglokossi01.wixsite.com/robots.txt		(from )
23:37:19	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	D:/Projet%20mignon/Dowope/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://moglokossi01.wixsite.com/dowope)
23:37:19	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Projet%20mignon/Dowope/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://moglokossi01.wixsite.com/dowope)
23:37:20	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Projet%20mignon/Dowope/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://moglokossi01.wixsite.com/dowope)
23:37:24	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2019%20Mar%202024%2023:37:22%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/Projet%20mignon/Dowope/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://moglokossi01.wixsite.com/dowope)
23:37:24	4186/4186	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Mar%202024%2019:29:48%20GMT	https://static.wixstatic.com/media/dea70f_129e893157da4e62a4b3d6bb59c6aae8~mv2.png/v1/fill/w_80,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-no-background.png	D:/Projet%20mignon/Dowope/static.wixstatic.com/media/dea70f_129e893157da4e62a4b3d6bb59c6aae8_mv2.png/v1/fill/w_80,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-no-background.png	(from https://moglokossi01.wixsite.com/dowope)
23:37:24	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2023:37:26%20GMT	https://moglokossi01.wixsite.com/	D:/Projet%20mignon/Dowope/moglokossi01.wixsite.com/index.html	(from https://moglokossi01.wixsite.com/dowope)
23:37:25	3669/3669	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Mar%202024%2017:08:19%20GMT	https://static.wixstatic.com/media/bd236043d97c4c799bf0101fd2a50e10.jpg/v1/fill/w_147,h_76,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/bd236043d97c4c799bf0101fd2a50e10.jpg	D:/Projet%20mignon/Dowope/static.wixstatic.com/media/bd236043d97c4c799bf0101fd2a50e10.jpg/v1/fill/w_147,h_76,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/bd236043d97c4c799bf0101fd2a50e10.jpg	(from https://moglokossi01.wixsite.com/dowope)
23:37:25	388144/388144	---MCZ	200	added ('OK')	text/html	etag:W/%229ccca69f98312cd729b29276da6188c1%22	https://moglokossi01.wixsite.com/dowope/blank-2	D:/Projet%20mignon/Dowope/moglokossi01.wixsite.com/dowope/blank-2.html	(from https://moglokossi01.wixsite.com/dowope)
